=== SEMANTIC ANOMALIES ===
Records with >=1 semantic anomaly: 880

MAG-6000434 | extreme_ppsf | Mantri Elite | apartment | 3 BHK | bath 2 | carpet 106 | super 153 | price 19540000 | floor 23 / 26 | locality dlf phase 3 | live True | verified False
ZER-6000711 | house_many_floors | Century Habitat | independent house | 3 BHK | bath 3 | carpet 1175 | super 1580 | price 13180000 | floor 21 / 24 | locality sohna road | live True | verified False
MAG-6000794 | extreme_ppsf | Casagrand Grand | apartment | 3 BHK | bath 3 | carpet 129 | super 185 | price 23670000 | floor 2 / 19 | locality new gurgaon | live False | verified True
ZER-6003316 | large_BHK_0balcony | Shriram Residency Phase 1 | apartment | 4 BHK | bath 4 | carpet 1674 | super 2411 | price 33500000 | floor 1 / 6 | locality sector 49 | live True | verified False
100-6001161 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Puravankara Residency | plot | 0 BHK | bath 0 | carpet 2197 | super 2197 | price 21950000 | floor 0 / 0 | locality sector 82 | live True | verified True
SQU-6001051 | large_BHK_0parking | Lodha Vista | apartment | 5 BHK | bath 4 | carpet 1931 | super 2617 | price 25060000 | floor 2 / 19 | locality sector 56 | live True | verified True
100-6001959 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Kolte Patil Willows | plot | 0 BHK | bath 0 | carpet 1382 | super 1382 | price 8910000 | floor 0 / 0 | locality sector 49 | live True | verified True
SQU-6000987 | house_many_floors | Rohan Meadows | independent house | 1 BHK | bath 1 | carpet 388 | super 554 | price 7120000 | floor 20 / 25 | locality sector 56 | live False | verified False
100-6002836 | house_many_floors | Casagrand Boulevard | independent house | 3 BHK | bath 3 | carpet 1121 | super 1432 | price 9390000 | floor 8 / 21 | locality sector 49 | live True | verified True
ZER-6001139 | large_BHK_0parking | Adarsh Serenity | villa | 4 BHK | bath 4 | carpet 1552 | super 2127 | price 15960000 | floor 0 / 4 | locality sector 49 | live True | verified True
MAG-6001288 | extreme_ppsf | Shriram Heights | apartment | 2 BHK | bath 2 | carpet 77 | super 98 | price 15700000 | floor 5 / 7 | locality sector 49 | live False | verified True
ZER-6000715 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Woods | plot | 0 BHK | bath 0 | carpet 1930 | super 1930 | price 14850000 | floor 0 / 0 | locality sector 49 | live True | verified False
MAG-6002640 | extreme_ppsf | Brigade Enclave | apartment | 2 BHK | bath 1 | carpet 85 | super 109 | price 15770000 | floor 17 / 24 | locality new gurgaon | live True | verified True
MAG-6000506 | large_BHK_0parking | Prestige Habitat | apartment | 4 BHK | bath 4 | carpet 1651 | super 2192 | price 21420000 | floor 10 / 12 | locality sector 56 | live True | verified True
DWE-6002713 | large_BHK_0balcony | Lodha Enclave | apartment | 4 BHK | bath 3 | carpet 1563 | super 1990 | price 20640000 | floor 5 / 26 | locality sector 82 | live True | verified True
DWE-6002098 | house_many_floors | Adarsh Woods | independent house | 3 BHK | bath 2 | carpet 1285 | super 1636 | price 17210000 | floor 2 / 23 | locality golf course road | live True | verified True
DWE-6001952 | house_many_floors | Rohan Boulevard | independent house | 2 BHK | bath 2 | carpet 808 | super 1150 | price 14590000 | floor 7 / 14 | locality sector 65 | live True | verified True
DWE-6001595 | house_many_floors | Salarpuria Park | independent house | 3 BHK | bath 2 | carpet 1235 | super 1612 | price 14050000 | floor 5 / 14 | locality dlf phase 3 | live True | verified False
DWE-6001625 | house_many_floors | Casagrand Enclave | independent house | 3 BHK | bath 2 | carpet 1136 | super 1485 | price 20400000 | floor 11 / 16 | locality sector 49 | live True | verified True
100-6002415 | large_BHK_0balcony | Mantri Enclave | builder floor | 4 BHK | bath 3 | carpet 1521 | super 2150 | price 14100000 | floor 2 / 13 | locality new gurgaon | live False | verified True
SQU-6002042 | large_BHK_0balcony | Casagrand Woods | apartment | 4 BHK | bath 4 | carpet 1677 | super 2118 | price 14920000 | floor 15 / 23 | locality sector 49 | live True | verified False
SQU-6001398 | large_BHK_0balcony,large_BHK_0parking | Mantri Greens | villa | 4 BHK | bath 3 | carpet 1661 | super 2354 | price 33850000 | floor 6 / 7 | locality sector 65 | live False | verified True
MAG-6001630 | extreme_ppsf | Puravankara Pavilion | villa | 3 BHK | bath 3 | carpet 107 | super 140 | price 12560000 | floor 6 / 6 | locality sector 82 | live True | verified False
MAG-6002414 | house_many_floors,extreme_ppsf | Godrej Woods | independent house | 2 BHK | bath 1 | carpet 78 | super 104 | price 8100000 | floor 23 / 31 | locality dwarka expressway | live True | verified True
SQU-6000895 | house_many_floors | Godrej Sanctuary | independent house | 3 BHK | bath 2 | carpet 1255 | super 1688 | price 18790000 | floor 14 / 25 | locality sector 65 | live True | verified True
MAG-6000554 | extreme_ppsf | Sobha Park | apartment | 3 BHK | bath 3 | carpet 114 | super 149 | price 18530000 | floor 20 / 21 | locality new gurgaon | live False | verified False
MAG-6002733 | extreme_ppsf | My Home Vista | builder floor | 3 BHK | bath 2 | carpet 117 | super 167 | price 24720000 | floor 8 / 9 | locality dwarka expressway | live True | verified True
ZER-6001812 | large_BHK_0balcony | Shriram Heights | apartment | 4 BHK | bath 3 | carpet 1539 | super 2124 | price 18410000 | floor 4 / 19 | locality sector 49 | live True | verified False
100-6002572 | large_BHK_0parking | Shriram Enclave | apartment | 4 BHK | bath 3 | carpet 1479 | super 1958 | price 26220000 | floor 16 / 25 | locality sector 56 | live True | verified True
100-6001922 | large_BHK_0balcony | Salarpuria Grand | apartment | 4 BHK | bath 4 | carpet 1447 | super 1981 | price 25370000 | floor 31 / 32 | locality sector 49 | live True | verified True
MAG-6002350 | house_many_floors,extreme_ppsf | Kolte Patil Crest | independent house | 3 BHK | bath 3 | carpet 110 | super 150 | price 11970000 | floor 11 / 16 | locality sector 56 | live True | verified False
ZER-6000750 | large_BHK_0parking,house_many_floors | Rohan Meadows | independent house | 4 BHK | bath 3 | carpet 1472 | super 1855 | price 22650000 | floor 15 / 30 | locality dwarka expressway | live True | verified False
SQU-6002645 | large_BHK_0balcony | Mantri Boulevard | apartment | 4 BHK | bath 3 | carpet 1547 | super 2221 | price 22710000 | floor 6 / 12 | locality dwarka expressway | live False | verified True
MAG-6002328 | extreme_ppsf | Sobha Grand | apartment | 3 BHK | bath 3 | carpet 109 | super 151 | price 18440000 | floor 7 / 14 | locality sector 56 | live True | verified True
MAG-6002066 | house_many_floors,extreme_ppsf | Prestige Pavilion | independent house | 3 BHK | bath 3 | carpet 119 | super 169 | price 13280000 | floor 13 / 21 | locality sohna road | live True | verified True
MAG-6000954 | extreme_ppsf | Kolte Patil Serenity | apartment | 3 BHK | bath 3 | carpet 106 | super 144 | price 15730000 | floor 1 / 20 | locality new gurgaon | live True | verified True
SQU-6001695 | large_BHK_0balcony | My Home Crest | builder floor | 4 BHK | bath 4 | carpet 1553 | super 2090 | price 20790000 | floor 15 / 26 | locality new gurgaon | live False | verified True
DWE-6003270 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Mantri  Enclave | plot | 0 BHK | bath 0 | carpet 1586 | super 1586 | price 8710000 | floor 0 / 0 | locality dwarka expressway | live True | verified False
100-6001043 | house_many_floors | Godrej Elite | independent house | 3 BHK | bath 3 | carpet 1223 | super 1724 | price 12680000 | floor 20 / 20 | locality sector 82 | live True | verified True
SQU-6000688 | large_BHK_0parking,house_many_floors | Godrej Willows | independent house | 4 BHK | bath 4 | carpet 1478 | super 1977 | price 24390000 | floor 7 / 22 | locality dwarka expressway | live True | verified True
100-6001168 | large_BHK_0parking | Lodha Woods | apartment | 4 BHK | bath 4 | carpet 1644 | super 2374 | price 29580000 | floor 1 / 7 | locality sohna road | live True | verified True
MAG-6000823 | house_many_floors,extreme_ppsf | Kolte Patil Park | independent house | 3 BHK | bath 2 | carpet 110 | super 144 | price 15720000 | floor 17 / 23 | locality sector 65 | live True | verified True
MAG-6000605 | extreme_ppsf | Lodha Vista | apartment | 2 BHK | bath 2 | carpet 85 | super 109 | price 11840000 | floor 8 / 26 | locality sector 56 | live True | verified False
MAG-6001012 | extreme_ppsf | Aparna Elite | villa | 3 BHK | bath 2 | carpet 115 | super 150 | price 23950000 | floor 4 / 7 | locality sector 56 | live True | verified False
MAG-6001842 | large_BHK_0parking,extreme_ppsf | Mantri Enclave | apartment | 5 BHK | bath 4 | carpet 179 | super 255 | price 27690000 | floor 16 / 27 | locality sector 65 | live True | verified True
DWE-6000154 | large_BHK_0balcony,large_BHK_0parking | Salarpuria Pavilion | apartment | 4 BHK | bath 4 | carpet 1447 | super 1946 | price 24630000 | floor 5 / 30 | locality sector 82 | live True | verified True
100-6003467 | house_many_floors | Lodha-Grand | independent house | 2 BHK | bath 2 | carpet 787 | super 995 | price 10200000 | floor 17 / 25 | locality sector 56 | live True | verified True
